file,model,agent_type,reassurance_type,sequence,mean_abs_confidence_change,early_confidence_gain,accuracy,toc_turn
2026-04-17T23-12-34__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_1__rep7.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_1,5.0,5.0,1.0,6
2026-04-17T23-12-56__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_1__rep8.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_1,8.0,10.0,,6
2026-04-17T23-13-18__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_1__rep9.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_1,5.0,5.0,1.0,6
2026-04-17T23-13-39__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_1__rep10.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_1,9.0,15.0,1.0,6
2026-04-17T23-14-02__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_2__rep1.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_2,12.0,15.0,1.0,6
2026-04-17T23-14-24__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_2__rep2.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_2,13.0,15.0,1.0,6
2026-04-17T23-14-46__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_2__rep3.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_2,6.0,10.0,,6
2026-04-17T23-15-06__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_2__rep4.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_2,7.5,15.0,1.0,5
2026-04-17T23-15-28__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_2__rep5.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_2,9.0,10.0,1.0,6
2026-04-17T23-15-52__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_2__rep6.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_2,11.0,10.0,,6
2026-04-17T23-16-16__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_2__rep7.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_2,7.0,10.0,1.0,6
2026-04-17T23-16-36__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_2__rep8.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_2,10.0,10.0,1.0,5
2026-04-17T23-16-56__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_2__rep9.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_2,16.25,15.0,1.0,5
2026-04-17T23-17-20__x_ai_grok_4_fast__nonjtc__miscalibrated__sequence_2__rep10.json,x-ai/grok-4-fast,nonjtc,miscalibrated,sequence_2,10.0,15.0,,6
2026-04-17T23-17-28__openai_gpt_5_4__jtc__calibrated__sequence_1__rep1.json,openai/gpt-5.4,jtc,calibrated,sequence_1,14.0,9.0,1.0,3
2026-04-17T23-17-35__openai_gpt_5_4__jtc__calibrated__sequence_1__rep2.json,openai/gpt-5.4,jtc,calibrated,sequence_1,16.5,17.0,1.0,3
2026-04-17T23-17-42__openai_gpt_5_4__jtc__calibrated__sequence_1__rep3.json,openai/gpt-5.4,jtc,calibrated,sequence_1,16.5,15.0,1.0,3
2026-04-17T23-17-50__openai_gpt_5_4__jtc__calibrated__sequence_1__rep4.json,openai/gpt-5.4,jtc,calibrated,sequence_1,16.0,12.0,1.0,3
2026-04-17T23-17-57__openai_gpt_5_4__jtc__calibrated__sequence_1__rep5.json,openai/gpt-5.4,jtc,calibrated,sequence_1,13.0,12.0,1.0,3
2026-04-17T23-18-04__openai_gpt_5_4__jtc__calibrated__sequence_1__rep6.json,openai/gpt-5.4,jtc,calibrated,sequence_1,17.0,16.0,1.0,3
2026-04-17T23-18-11__openai_gpt_5_4__jtc__calibrated__sequence_1__rep7.json,openai/gpt-5.4,jtc,calibrated,sequence_1,15.5,13.0,1.0,3
2026-04-17T23-18-18__openai_gpt_5_4__jtc__calibrated__sequence_1__rep8.json,openai/gpt-5.4,jtc,calibrated,sequence_1,17.0,16.0,1.0,3
2026-04-17T23-18-26__openai_gpt_5_4__jtc__calibrated__sequence_1__rep9.json,openai/gpt-5.4,jtc,calibrated,sequence_1,16.0,12.0,1.0,3
2026-04-17T23-18-35__openai_gpt_5_4__jtc__calibrated__sequence_1__rep10.json,openai/gpt-5.4,jtc,calibrated,sequence_1,16.5,17.0,1.0,3
2026-04-17T23-18-42__openai_gpt_5_4__jtc__calibrated__sequence_2__rep1.json,openai/gpt-5.4,jtc,calibrated,sequence_2,13.0,6.0,0.0,3
2026-04-17T23-18-49__openai_gpt_5_4__jtc__calibrated__sequence_2__rep2.json,openai/gpt-5.4,jtc,calibrated,sequence_2,12.5,9.0,1.0,3
2026-04-17T23-18-58__openai_gpt_5_4__jtc__calibrated__sequence_2__rep3.json,openai/gpt-5.4,jtc,calibrated,sequence_2,11.0,6.0,1.0,3
2026-04-17T23-19-05__openai_gpt_5_4__jtc__calibrated__sequence_2__rep4.json,openai/gpt-5.4,jtc,calibrated,sequence_2,12.0,9.0,1.0,3
2026-04-17T23-19-13__openai_gpt_5_4__jtc__calibrated__sequence_2__rep5.json,openai/gpt-5.4,jtc,calibrated,sequence_2,13.0,8.0,1.0,3
2026-04-17T23-19-21__openai_gpt_5_4__jtc__calibrated__sequence_2__rep6.json,openai/gpt-5.4,jtc,calibrated,sequence_2,13.0,6.0,1.0,3
2026-04-17T23-19-29__openai_gpt_5_4__jtc__calibrated__sequence_2__rep7.json,openai/gpt-5.4,jtc,calibrated,sequence_2,11.5,8.0,1.0,3
2026-04-17T23-19-38__openai_gpt_5_4__jtc__calibrated__sequence_2__rep8.json,openai/gpt-5.4,jtc,calibrated,sequence_2,13.0,10.0,1.0,3
2026-04-17T23-19-43__openai_gpt_5_4__jtc__calibrated__sequence_2__rep9.json,openai/gpt-5.4,jtc,calibrated,sequence_2,10.0,10.0,0.0,2
2026-04-17T23-19-51__openai_gpt_5_4__jtc__calibrated__sequence_2__rep10.json,openai/gpt-5.4,jtc,calibrated,sequence_2,13.0,6.0,0.0,3
2026-04-17T23-19-56__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep1.json,openai/gpt-5.4,jtc,miscalibrated,sequence_1,26.0,26.0,1.0,2
2026-04-17T23-20-01__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep2.json,openai/gpt-5.4,jtc,miscalibrated,sequence_1,26.0,26.0,1.0,2
2026-04-17T23-20-05__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep3.json,openai/gpt-5.4,jtc,miscalibrated,sequence_1,46.0,46.0,1.0,2
2026-04-17T23-20-10__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep4.json,openai/gpt-5.4,jtc,miscalibrated,sequence_1,24.0,24.0,1.0,2
2026-04-17T23-20-15__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep5.json,openai/gpt-5.4,jtc,miscalibrated,sequence_1,26.0,26.0,1.0,2
2026-04-17T23-20-21__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep6.json,openai/gpt-5.4,jtc,miscalibrated,sequence_1,26.0,26.0,1.0,2
2026-04-17T23-20-26__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep7.json,openai/gpt-5.4,jtc,miscalibrated,sequence_1,26.0,26.0,1.0,2
2026-04-17T23-20-31__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep8.json,openai/gpt-5.4,jtc,miscalibrated,sequence_1,27.0,27.0,1.0,2
2026-04-17T23-20-36__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep9.json,openai/gpt-5.4,jtc,miscalibrated,sequence_1,29.0,29.0,1.0,2
2026-04-17T23-20-40__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep10.json,openai/gpt-5.4,jtc,miscalibrated,sequence_1,64.0,64.0,1.0,2
2026-04-17T23-20-49__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep1.json,openai/gpt-5.4,jtc,miscalibrated,sequence_2,15.0,26.0,1.0,3
2026-04-17T23-20-55__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep2.json,openai/gpt-5.4,jtc,miscalibrated,sequence_2,26.0,26.0,0.0,2
2026-04-17T23-20-59__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep3.json,openai/gpt-5.4,jtc,miscalibrated,sequence_2,26.0,26.0,0.0,2
2026-04-17T23-21-05__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep4.json,openai/gpt-5.4,jtc,miscalibrated,sequence_2,22.0,22.0,0.0,2
2026-04-17T23-21-10__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep5.json,openai/gpt-5.4,jtc,miscalibrated,sequence_2,25.0,25.0,0.0,2
2026-04-17T23-21-14__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep6.json,openai/gpt-5.4,jtc,miscalibrated,sequence_2,24.0,24.0,0.0,2
2026-04-17T23-21-19__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep7.json,openai/gpt-5.4,jtc,miscalibrated,sequence_2,22.0,22.0,0.0,2
2026-04-17T23-21-24__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep8.json,openai/gpt-5.4,jtc,miscalibrated,sequence_2,26.0,26.0,0.0,2
2026-04-17T23-21-29__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep9.json,openai/gpt-5.4,jtc,miscalibrated,sequence_2,25.0,25.0,0.0,2
2026-04-17T23-21-35__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep10.json,openai/gpt-5.4,jtc,miscalibrated,sequence_2,24.0,24.0,1.0,2
2026-04-17T23-21-47__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep1.json,openai/gpt-5.4,nonjtc,calibrated,sequence_1,17.0,20.0,1.0,5
2026-04-17T23-22-00__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep2.json,openai/gpt-5.4,nonjtc,calibrated,sequence_1,17.0,16.0,1.0,5
2026-04-17T23-22-13__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep3.json,openai/gpt-5.4,nonjtc,calibrated,sequence_1,17.0,10.0,1.0,5
2026-04-17T23-22-25__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep4.json,openai/gpt-5.4,nonjtc,calibrated,sequence_1,16.5,16.0,1.0,5
2026-04-17T23-22-40__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep5.json,openai/gpt-5.4,nonjtc,calibrated,sequence_1,16.5,16.0,1.0,5
2026-04-17T23-22-53__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep6.json,openai/gpt-5.4,nonjtc,calibrated,sequence_1,17.5,16.0,1.0,5
2026-04-17T23-23-06__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep7.json,openai/gpt-5.4,nonjtc,calibrated,sequence_1,16.75,16.0,1.0,5
2026-04-17T23-23-19__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep8.json,openai/gpt-5.4,nonjtc,calibrated,sequence_1,17.5,18.0,1.0,5
2026-04-17T23-23-33__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep9.json,openai/gpt-5.4,nonjtc,calibrated,sequence_1,17.5,20.0,1.0,5
2026-04-17T23-23-46__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep10.json,openai/gpt-5.4,nonjtc,calibrated,sequence_1,16.5,16.0,1.0,5
2026-04-17T23-23-56__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep1.json,openai/gpt-5.4,nonjtc,calibrated,sequence_2,22.666666666666668,16.0,1.0,4
2026-04-17T23-24-08__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep2.json,openai/gpt-5.4,nonjtc,calibrated,sequence_2,10.333333333333334,4.0,1.0,4
2026-04-17T23-24-18__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep3.json,openai/gpt-5.4,nonjtc,calibrated,sequence_2,10.666666666666666,6.0,1.0,4
2026-04-17T23-24-29__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep4.json,openai/gpt-5.4,nonjtc,calibrated,sequence_2,22.0,10.0,1.0,4
2026-04-17T23-24-45__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep5.json,openai/gpt-5.4,nonjtc,calibrated,sequence_2,16.5,6.0,1.0,5
2026-04-17T23-25-00__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep6.json,openai/gpt-5.4,nonjtc,calibrated,sequence_2,16.5,12.0,1.0,5
2026-04-17T23-25-10__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep7.json,openai/gpt-5.4,nonjtc,calibrated,sequence_2,21.666666666666668,16.0,1.0,4
2026-04-17T23-25-24__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep8.json,openai/gpt-5.4,nonjtc,calibrated,sequence_2,17.0,6.0,1.0,5
2026-04-17T23-25-34__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep9.json,openai/gpt-5.4,nonjtc,calibrated,sequence_2,11.333333333333334,8.0,1.0,4
2026-04-17T23-25-45__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep10.json,openai/gpt-5.4,nonjtc,calibrated,sequence_2,22.666666666666668,24.0,1.0,4
2026-04-17T23-25-58__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep1.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_1,22.0,14.0,1.0,4
2026-04-17T23-26-09__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep2.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_1,22.0,14.0,1.0,4
2026-04-17T23-26-20__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep3.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_1,22.0,14.0,1.0,4
2026-04-17T23-26-32__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep4.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_1,23.5,38.0,1.0,5
2026-04-17T23-26-42__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep5.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_1,31.0,44.0,1.0,4
2026-04-17T23-26-55__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep6.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_1,26.0,44.0,1.0,5
2026-04-17T23-27-07__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep7.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_1,33.0,44.0,1.0,4
2026-04-17T23-27-19__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep8.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_1,22.666666666666668,12.0,1.0,4
2026-04-17T23-27-29__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep9.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_1,22.666666666666668,10.0,1.0,4
2026-04-17T23-27-42__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep10.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_1,22.0,14.0,1.0,4
2026-04-17T23-27-52__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep1.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_2,22.0,14.0,1.0,4
2026-04-17T23-28-03__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep2.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_2,22.666666666666668,40.0,1.0,4
2026-04-17T23-28-13__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep3.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_2,24.0,44.0,1.0,4
2026-04-17T23-28-22__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep4.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_2,23.666666666666668,40.0,1.0,4
2026-04-17T23-28-33__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep5.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_2,22.0,20.0,1.0,4
2026-04-17T23-28-43__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep6.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_2,22.0,12.0,1.0,4
2026-04-17T23-28-53__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep7.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_2,23.333333333333332,14.0,1.0,4
2026-04-17T23-29-04__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep8.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_2,22.0,14.0,1.0,4
2026-04-17T23-29-15__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep9.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_2,22.0,14.0,1.0,4
2026-04-17T23-29-27__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep10.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_2,17.0,12.0,1.0,5
